,xorg-server,"is the graphical server, at least until suckless runs on wayland"
,xorg-xinit,"starts X"
,xorg-xrandr,"is required for multi-monitor management and autorandr"
,xorg-xsetroot,"is used by dwm for setting the root window name (status bar)"
,xorg-xprop,"is a tool for detecting window properties"
,xorg-xwininfo,"allows querying information about windows"
,xorg-xbacklight,"enables changing screen brightness levels"
,xorg-setxkbmap,"sets keyboard layout in X11"
,xorg-xrdb,"loads X resources from xresources file"
,xorg-xset,"sets key repeat rate and other X user preferences (used by remaps)"
,xclip,"allows for copying and pasting from the command line"
,xdotool,"provides window action utilities on the command line"
,xwallpaper,"sets the wallpaper"
,xcompmgr,"is for transparency and removing screen-tearing"
,arandr,"deals with multiple monitor setups nicely"
,autorandr,"auto-detects and applies monitor configurations"
,xdg-user-dirs,"creates the XDG user directories (Downloads, Documents) at login"
,inotify-tools,"provides inotifywait for the download-rename watcher"
,capitaine-cursors,"is the cursor theme used by Aegix"
,zsh,"is the default interactive shell"
,zsh-completions,"provides additional completion definitions for zsh"
,neovim,"neo vim"
,vim,"is the classic text editor"
,pcmanfm,"alternative gui file manager"
,ueberzug,"enables previews in the lf file manager"
,pipewire,"is the modern audio/video server"
,wireplumber,"is a nice audio system"
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs"
,pulsemixer,"is an audio controller"
,alsa-utils,"provides amixer and alsamixer for audio control"
,pipewire-alsa,"bridges pipewire to ALSA audio devices"
,rtkit,"provides realtime scheduling for pipewire audio"
,mpd,"is music daemon"
,mpc,"is a terminal interface for mpd"
,mpv,"is a choice video player"
,sxiv,"is a minimalist image viewer"
,ffmpeg,"does wonders with audio and video"
,ffmpegthumbnailer,"creates video file thumbnail previews"
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link"
,zathura,"is a pdf viewer with vim-like bindings"
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions"
,dunst,"suckless system notifications"
,libnotify,"allows desktop notifications"
,rofi,"is an application launcher used by dmenu-master and other Aegix scripts"
,unclutter,"hides an inactive mouse"
,slock,"allows you to lock your computer, and quickly unlock with your password"
,ttf-linux-libertine,"provides the sans and serif fonts for BARBS"
,ttf-font-awesome,"provides extended glyph support"
,ttf-dejavu,"properly displays emojis."
,noto-fonts,"is an expansive font package"
,noto-fonts-emoji,"is an emoji font"
,gnome-keyring,"is the system keyring"
,git,"is the version control system, required by barbs for suckless builds"
,rsync,"is a nice way to move files around"
,wget,"is a network downloader used by many scripts"
,bc,"is a gnu calculator"
,fzf,"is a fuzzy finder tool"
,bat,"can highlight code output and display files"
,htop,"is an interactive process viewer"
,man-db,"read manual pages"
,atool,"manages and gives information about archives"
,unzip,"unzips zips"
,mediainfo,"shows audio and video information"
,socat,"is a utility which establishes two byte streams and transfers data between them"
,moreutils,"is a collection of useful unix tools"
,brightnessctl,"works when xbacklight fails"
,dosfstools,"allows your computer to access dos-like filesystems"
,ntfs-3g,"allows accessing NTFS partitions"
,maim,"can take quick screenshots at your request"
,xcape,"gives the special escape/super mappings of BARBS"
,polkit,"manages user policies"
,espeak-ng,"is a text-to-speech synthesizer used by fitter-happier for vintage robotic voice"
,gocryptfs,"so CypherText Alcove works by default"
,lynx,"is a terminal browser"
,newsboat,"is a terminal RSS client"
,artix-archlinux-support,"enables access to Arch Linux repositories"
,vulkan-radeon,"provides Vulkan driver for AMD GPUs"
,mesa-utils,"provides glxinfo and other GL diagnostic tools"
,networkmanager-runit,"is the runit service for NetworkManager"
,openssh-runit,"is the runit service for sshd"
,elogind-runit,"is the runit service for elogind"
,cronie-runit,"is the runit service for cronie"
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in BARBS"
A,lf-git,"is the default file manager running in the shell"
,exfatprogs,"allows management of exFAT drives"
,python-qdarkstyle,"provides a dark Qt theme"
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor"
A,brave-bin,"is the browser we like best if we are being honest"
A,abook,"is an offline addressbook usable by neomutt"
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell"
A,task-spooler,"queues commands or files for download"
A,simple-mtpfs,"enables the mounting of cell phones"
G,https://github.com/aegixlinux/dwmblocks.git,"serves as the modular status bar"
G,https://github.com/aegixlinux/dmenu.git,"runs commands and provides a UI for selection"
G,https://github.com/aegixlinux/st.git,"is a custom aegixlinux build of suckless's terminal emulator"
G,https://github.com/aegixlinux/dwm.git,"is the window manager"
A,mutt-wizard-git,"is a light-weight terminal-based email system"
A,python-pywal16,"matches background image colors to system colors"
,networkmanager,"provides network connectivity management"
,openssh,"provides SSH client and server"
,elogind,"provides session and login management for X11"
,openntpd,"provides network time synchronization"
,openntpd-runit,"is the runit service for openntpd"
,cronie,"provides cron job scheduling"
,dbus,"is the system message bus, required by elogind and many services"
,asciiquarium,""
,astroterm,""
,bluez,""
,bluez-runit,""
,bluez-utils,""
,stalonetray,"provides the system tray dwm lacks, for applets like blueman"
,blueman,"is the graphical Bluetooth manager living in the tray"
,btop,""
A,cbonsai,"grows a bonsai tree in your terminal"
,chafa,""
,cmatrix,""
,cups,""
,cups-filters,""
,cups-runit,""
A,durdraw,"ASCII/ANSI art editor for the terminal"
,figlet,""
,glow,""
,highlight,""
,jq,""
,lolcat,""
,lsof,""
